sample,EGFR,KRAS,TP53,BRCA1,BRCA2,ALK,PIK3CA,MAPK1,PTEN,HRAS,NRAS,AKT1,CDK4,CDK6,MYC,RET,FGFR1,FGFR2,BRAF,SMAD4,MLH1,MUTYH,TSC1,TSC2,VHL,IDH1,IDH2,SPOP,ARID1A,ATM,AXIN1,FBXW7,RAD51,RB1,ERBB2,RPS6KB1,STK11,NOTCH1,NF1,KMT2C,KMT2D,PD-0325901:MEK_IC50 (uM),RAF265:RAF_IC50 (uM),PHA-665752:c-MET_IC50 (uM),Histology,Hist Subtype1,Site Primary
SCC4_UPPER_AERODIGESTIVE_TRACT,168.9,3.841,35.34,4.891,2.85,0.01703,5.269,7.437,5.168,27.4,26.51,95.77,45.55,47.46,91.21,0.154,1.371,3.476,2.417,3.981,11.42,5.677,5.31,13.59,7.403,21.44,10.27,10.84,11.21,2.801,16.45,4.189,6.609,12.21,12.74,7.104,15.97,8.756,1.894,1.917,5.693,,,,carcinoma,squamous_cell_carcinoma,UPPER_AERODIGESTIVE_TRACT
TUHR14TKB_KIDNEY,162.8,3.022,16.53,1.951,0.5783,0.03473,7.454,14.71,6.249,16.17,34.02,14.55,50.4,54.1,40.66,0.09785,29.13,11.24,8.362,7.43,8.581,3.674,5.376,10.7,8.282,29.54,99.59,14.16,5.179,4.667,10.79,2.745,4.805,6.907,19.42,8.409,13.18,8.52,7.724,8.858,8.295,,,,carcinoma,NS,KIDNEY
NCIH1568_LUNG,160.4,5.416,14.82,9.072,4.439,0.03618,6.872,21.48,19.36,29.74,32.33,36.9,54.68,40.27,52.71,0.05467,3.76,18.63,3.488,3.235,16.82,15.96,5.11,11.19,17.16,63.61,43.48,6.703,17.63,6.013,13.4,9.339,13.11,13.52,19.67,12.9,0.04181,8.254,10.77,3.729,17.6,8.0,2.202,8.0,carcinoma,non_small_cell_carcinoma,LUNG
HCC827GR5_LUNG,159.5,4.732,55.57,9.405,1.502,0.016,7.568,10.39,11.23,7.324,25.42,20.68,1389.0,5.588,56.31,0.00143,1.554,0.00257,4.99,2.571,10.71,13.94,7.375,8.918,11.85,116.2,14.82,19.45,9.433,5.321,13.8,2.798,5.599,5.817,42.72,7.933,15.4,3.173,7.053,2.259,4.795,,,,carcinoma,adenocarcinoma,LUNG
PRECLH_PROSTATE,157.4,2.913,11.07,9.526,5.561,0.03206,4.843,7.293,4.387,12.33,15.4,19.68,28.31,8.083,34.15,0.1149,2.825,1.213,5.484,4.53,11.97,7.263,10.57,12.75,14.3,17.68,7.658,9.021,13.3,6.82,10.09,6.834,3.891,11.06,21.42,4.715,10.53,5.087,8.724,4.804,8.435,,,,other,immortalized_epithelial,PROSTATE
NCIH1573_LUNG,150.7,5.535,13.33,7.77,1.598,0.0452,8.719,16.41,11.85,12.27,19.2,56.85,37.05,6.399,23.43,0.135,3.559,0.4986,3.297,10.04,6.575,7.984,4.136,20.39,11.67,138.2,24.24,11.47,23.59,4.814,12.75,3.634,5.491,12.04,44.88,10.3,15.27,1.01,11.34,3.459,17.52,1.579,6.623,8.0,carcinoma,adenocarcinoma,LUNG
HSC4_UPPER_AERODIGESTIVE_TRACT,147.8,3.831,37.38,6.519,1.259,0.03277,4.762,11.44,16.45,25.12,21.69,34.71,47.09,19.24,28.45,0.01751,2.682,23.0,4.874,6.189,12.29,10.04,9.507,10.88,12.01,22.46,46.72,14.49,10.4,4.239,10.19,4.215,6.648,12.79,39.07,6.927,13.07,27.35,10.31,5.354,8.533,,,,carcinoma,squamous_cell_carcinoma,UPPER_AERODIGESTIVE_TRACT
HEC108_ENDOMETRIUM,144.6,2.698,27.08,10.71,4.414,0.0093,3.751,11.71,5.324,15.08,17.76,40.61,60.6,16.16,42.73,0.02555,45.26,25.3,7.58,5.238,7.865,5.954,7.122,16.16,15.5,22.93,48.05,6.592,15.25,8.963,14.36,6.774,3.574,8.355,39.66,5.589,22.04,12.96,5.098,7.229,15.09,,,,carcinoma,adenocarcinoma,ENDOMETRIUM
TE8_OESOPHAGUS,136.5,7.055,27.95,6.869,2.754,0.1686,13.05,22.85,9.945,22.34,19.51,39.23,70.73,6.884,52.44,2.15,25.68,2.219,7.587,3.804,12.81,4.104,12.04,11.0,15.25,12.37,49.05,14.28,13.96,8.767,7.387,5.409,6.996,21.77,15.76,13.96,18.01,10.92,10.1,7.79,11.67,,,,carcinoma,squamous_cell_carcinoma,OESOPHAGUS
NCIH1838_LUNG,131.3,3.975,37.71,12.11,5.969,0.03947,4.506,14.27,4.357,22.09,21.14,29.91,163.8,8.963,62.57,0.00757,8.92,0.4234,5.781,5.776,13.61,5.437,2.775,8.932,9.257,58.6,42.36,20.46,9.488,9.591,25.1,3.458,12.22,13.39,25.0,12.07,22.21,2.663,2.208,1.585,4.365,,,,carcinoma,non_small_cell_carcinoma,LUNG
HSC3_UPPER_AERODIGESTIVE_TRACT,130.7,4.902,1.628,13.19,4.128,0.00944,8.2,31.22,12.23,58.99,65.86,27.05,88.12,19.74,76.93,0.5216,0.5292,7.022,3.39,2.848,17.59,5.601,6.133,5.681,3.084,9.932,2.272,13.89,8.58,3.44,7.495,3.509,9.761,26.25,8.451,10.58,9.668,1.024,9.406,1.875,4.597,,,,carcinoma,squamous_cell_carcinoma,UPPER_AERODIGESTIVE_TRACT
NCIH2073_LUNG,130.7,2.668,18.76,5.539,1.553,0.00244,4.194,9.01,8.671,17.93,22.43,53.11,94.79,0.6546,18.99,0.1396,2.735,0.00704,3.558,7.824,12.22,6.009,3.808,9.254,7.761,36.83,13.09,10.64,13.1,3.704,11.35,1.658,4.698,2.003,13.07,6.788,3.216,3.461,4.985,0.08579,5.941,,,,carcinoma,adenocarcinoma,LUNG
BT20_BREAST,130.2,4.453,60.7,6.685,4.582,0.01084,9.893,13.2,2.44,26.42,65.67,41.04,50.92,2.22,23.24,1.944,0.3634,2.229,13.61,2.249,14.31,6.16,6.691,7.971,19.35,186.6,67.6,7.356,17.34,5.398,9.509,8.905,20.94,17.61,34.63,4.723,16.17,4.625,8.852,9.049,9.133,8.0,8.0,8.0,carcinoma,ductal_carcinoma,BREAST
CHAGOK1_LUNG,121.6,1.431,21.08,8.88,0.8601,1.619,8.149,32.91,14.75,12.89,9.296,43.86,48.56,9.636,58.61,0.1816,1.271,7.837,6.96,5.435,9.543,11.14,4.558,26.71,14.3,33.8,30.84,7.965,15.27,3.764,14.26,4.528,10.48,1.563,34.81,7.181,9.327,4.941,7.344,6.656,10.65,,,,carcinoma,NS,LUNG
YD10B_UPPER_AERODIGESTIVE_TRACT,113.5,5.126,2.935,9.296,2.602,0.06394,6.987,8.644,6.046,45.49,24.78,27.68,38.77,16.01,34.44,0.4157,1.871,8.585,3.422,3.075,8.085,3.885,7.694,9.7,9.076,27.91,13.69,11.06,8.054,3.707,12.06,3.583,7.904,16.48,14.11,9.053,12.27,5.669,7.407,2.841,5.382,,,,carcinoma,squamous_cell_carcinoma,UPPER_AERODIGESTIVE_TRACT
KYSE180_OESOPHAGUS,110.6,4.744,31.13,9.796,2.247,0.03133,15.99,13.9,6.353,28.66,40.93,33.79,71.79,22.47,71.56,0.01555,0.833,22.58,6.422,3.218,11.36,7.04,4.796,8.661,10.87,17.27,8.321,14.41,12.67,4.23,16.45,4.048,16.68,20.41,13.35,11.98,14.69,10.87,10.56,3.101,5.607,8.0,,8.0,carcinoma,squamous_cell_carcinoma,OESOPHAGUS
CAL33_UPPER_AERODIGESTIVE_TRACT,107.4,3.734,32.06,7.842,1.546,0.01479,6.382,13.28,5.401,16.1,15.11,42.31,32.71,14.86,42.21,0.02766,0.1761,7.731,3.009,1.337,5.163,3.486,5.018,17.99,8.163,59.63,21.39,7.298,18.44,3.437,22.54,4.039,7.565,10.66,24.25,6.675,22.03,11.72,9.506,3.679,9.958,,,,carcinoma,squamous_cell_carcinoma,UPPER_AERODIGESTIVE_TRACT
SNU1214_UPPER_AERODIGESTIVE_TRACT,106.5,4.256,17.67,7.387,2.111,0.01751,9.44,16.0,5.716,31.13,31.66,40.71,51.99,15.71,79.37,0.01637,1.047,6.146,3.131,6.684,7.367,4.131,8.379,6.778,7.292,12.27,31.37,15.77,14.11,2.784,16.18,2.947,12.79,20.18,14.51,6.266,7.78,2.978,7.28,4.174,6.472,,,,carcinoma,squamous_cell_carcinoma,UPPER_AERODIGESTIVE_TRACT
HMEL_BREAST,101.5,2.094,17.65,5.269,1.561,0.0212,5.715,9.947,6.427,17.36,8.598,20.51,29.19,9.273,133.9,0.2069,1.184,4.473,3.399,6.243,13.03,4.95,7.06,13.08,12.07,30.03,12.61,6.962,11.31,9.855,8.152,13.19,2.848,12.7,21.19,4.847,15.61,72.47,10.23,4.181,6.609,,,,other,immortalized_epithelial,BREAST
VMCUB1_URINARY_TRACT,98.34,5.084,11.51,8.16,2.551,0.04771,7.088,14.79,5.624,9.373,20.01,22.27,49.54,16.28,41.67,0.07881,4.109,3.233,3.39,4.708,9.477,6.154,10.79,8.896,22.94,47.36,22.89,10.58,8.083,7.371,9.846,4.637,5.684,12.45,22.81,9.856,12.43,4.736,12.71,3.392,8.51,,,,carcinoma,transitional_cell_carcinoma,URINARY_TRACT
RCC10RGB_KIDNEY,90.54,2.22,22.89,4.803,1.303,0.02367,5.688,13.8,5.238,12.51,20.33,17.46,55.46,29.68,30.72,0.1771,32.99,3.922,3.637,5.577,6.736,2.794,5.726,8.069,4.317,10.63,31.56,11.77,7.696,4.459,11.6,2.172,8.695,17.05,15.61,4.156,12.3,7.253,6.137,4.683,7.498,,,,carcinoma,renal_cell_carcinoma,KIDNEY
MKN74_STOMACH,85.29,9.448,64.25,4.432,4.595,0.01194,10.65,17.93,9.891,9.077,58.99,17.58,93.96,19.52,54.05,0.01149,0.07796,9.233,23.72,3.905,12.88,1.88,10.03,10.19,21.59,22.73,11.51,17.23,32.9,9.624,27.86,4.315,4.5,15.87,18.74,10.69,9.099,4.638,5.51,8.963,11.89,8.0,2.246,8.0,carcinoma,tubular_adenocarcinoma,STOMACH
PC9_LUNG,84.49,2.397,28.65,7.808,1.844,0.00107,6.714,7.98,4.418,11.09,35.25,29.5,76.95,3.426,50.96,0.0,1.721,0.00516,4.138,5.02,12.16,5.725,3.984,8.636,9.685,113.2,47.66,11.93,9.268,3.158,11.81,2.462,6.005,5.511,16.7,7.723,12.21,3.609,4.376,2.407,4.278,,,,,,LUNG
YD38_UPPER_AERODIGESTIVE_TRACT,83.19,5.83,1.194,7.881,2.039,0.01262,4.514,9.302,8.091,25.64,32.65,31.72,63.86,14.87,46.66,0.03371,0.3311,3.313,3.781,0.1376,9.504,5.851,3.695,7.29,6.618,27.21,6.389,9.969,14.04,3.098,11.61,2.548,10.71,12.41,8.174,8.398,17.18,4.56,4.544,2.584,7.041,,,,carcinoma,squamous_cell_carcinoma,UPPER_AERODIGESTIVE_TRACT
JHOC5_OVARY,79.39,6.944,16.97,12.1,1.502,0.0141,7.444,14.07,2.838,12.01,65.06,37.59,75.21,8.564,72.15,0.00628,68.63,0.807,5.258,7.048,12.04,8.833,2.209,10.8,31.86,32.23,13.44,14.01,12.83,4.612,16.47,2.675,10.42,10.81,38.09,7.968,17.63,3.259,8.309,2.157,6.499,,,,carcinoma,clear_cell_carcinoma,OVARY
KYSE150_OESOPHAGUS,79.25,5.297,35.47,7.651,2.596,0.02237,7.594,12.85,6.116,29.7,31.24,25.81,134.4,9.888,28.9,0.00299,0.03577,21.21,5.473,1.569,24.25,6.831,4.507,17.12,16.76,92.11,30.21,14.92,10.78,8.257,16.26,4.27,6.597,11.47,17.3,8.347,15.85,5.451,12.29,3.973,7.939,8.0,6.575,8.0,carcinoma,squamous_cell_carcinoma,OESOPHAGUS
HT1376_URINARY_TRACT,77.58,2.525,44.81,7.693,4.189,0.01204,11.79,13.61,3.575,54.68,23.26,27.08,55.15,0.4117,39.07,0.00386,0.07115,11.26,3.689,7.099,13.82,10.17,7.373,13.13,13.16,9.383,17.64,10.16,10.3,4.942,16.38,2.843,15.15,1.114,18.13,4.833,16.7,21.27,8.896,4.694,12.01,8.0,1.756,8.0,carcinoma,transitional_cell_carcinoma,URINARY_TRACT
SCC15_UPPER_AERODIGESTIVE_TRACT,77.01,3.578,3.602,3.911,0.7976,0.02848,7.625,10.4,3.819,22.31,19.5,26.65,36.59,11.45,37.67,0.319,3.631,2.263,3.633,3.675,7.622,3.358,6.826,9.918,8.014,33.43,12.63,9.688,12.15,1.932,6.836,2.888,7.416,6.967,12.37,7.531,13.22,5.7,5.399,2.992,7.086,,,,carcinoma,squamous_cell_carcinoma,UPPER_AERODIGESTIVE_TRACT
LU99_LUNG,76.28,11.78,8.904,11.49,2.02,0.01822,6.249,10.97,7.452,24.98,39.2,24.71,152.3,8.19,113.1,0.1766,23.21,0.01986,2.203,5.611,25.01,4.076,9.042,9.406,10.57,9.765,9.613,17.41,13.85,4.095,13.15,3.665,11.46,7.217,13.68,6.392,12.53,8.604,8.248,1.629,14.99,0.2537,0.4019,8.0,carcinoma,large_cell_carcinoma,LUNG
KYSE270_OESOPHAGUS,76.13,3.921,3.358,7.424,1.981,0.04897,11.53,10.66,2.136,32.06,28.89,41.46,56.61,4.923,56.97,4.007,4.607,4.621,3.054,3.677,6.305,16.53,3.46,8.067,8.911,16.65,29.55,11.27,14.67,2.39,23.75,2.757,5.192,0.03997,20.22,5.803,0.0293,10.11,4.214,1.665,6.872,,,,carcinoma,squamous_cell_carcinoma,OESOPHAGUS
HCC2279_LUNG,73.73,3.835,34.94,2.643,1.17,0.00535,7.164,22.42,5.234,12.5,32.11,53.93,53.36,4.112,67.95,0.04863,24.55,0.01544,4.237,1.309,12.4,6.685,3.764,22.54,8.487,46.05,9.282,18.76,9.023,4.376,29.97,3.863,4.347,10.69,11.54,10.51,53.09,1.884,6.158,2.765,6.752,,,,carcinoma,adenocarcinoma,LUNG
VMRCRCZ_KIDNEY,73.67,2.606,2.684,11.09,1.719,0.03331,5.86,15.49,9.435,5.901,35.03,17.38,63.64,42.69,63.6,0.06442,39.56,2.631,6.567,10.0,10.56,5.695,3.978,10.02,7.505,93.03,36.73,13.06,5.649,11.05,20.74,1.773,9.172,10.53,11.18,7.378,12.3,3.36,10.97,5.558,5.5,8.0,5.139,8.0,carcinoma,renal_cell_carcinoma,KIDNEY
TE6_OESOPHAGUS,73.27,8.999,43.76,10.87,3.796,1.897,16.3,20.01,8.553,13.21,54.92,44.74,46.71,17.65,59.24,0.06213,4.224,25.09,5.401,5.435,14.85,5.417,3.837,7.709,13.69,140.9,58.9,8.541,17.87,7.182,8.237,5.239,10.4,14.58,57.15,12.51,11.52,6.51,15.21,4.92,9.001,,,,carcinoma,squamous_cell_carcinoma,OESOPHAGUS
A253_SALIVARY_GLAND,73.27,3.114,2.961,11.51,2.83,0.04058,7.804,25.99,4.956,34.45,29.63,39.05,85.15,18.83,37.43,0.3707,2.316,13.91,3.55,1.875,14.87,6.616,5.54,12.09,11.05,56.14,36.92,13.15,12.87,2.764,16.54,3.971,10.64,22.5,11.51,6.302,28.68,10.71,6.573,2.95,8.494,8.0,2.617,8.0,carcinoma,mucoepidermoid_carcinoma,SALIVARY_GLAND
CJM_SKIN,72.61,7.047,16.43,5.407,1.289,0.00776,8.419,45.39,11.08,50.61,36.3,47.57,54.24,23.33,100.7,0.00691,0.4429,9.113,6.871,3.465,8.064,8.347,5.573,13.32,19.02,23.6,9.851,13.53,18.35,2.924,24.62,5.02,5.918,10.01,12.84,7.514,16.79,7.83,9.646,5.125,16.8,,,,malignant_melanoma,NS,SKIN
HCC366_LUNG,71.97,3.381,20.94,8.794,1.722,0.03674,5.872,10.55,6.98,24.43,1.571,57.71,56.8,22.78,31.99,0.1152,2.658,0.00353,5.147,5.979,6.154,6.679,6.31,11.52,14.79,16.3,12.05,6.896,15.45,9.24,13.5,2.342,8.232,17.77,14.35,9.406,0.3781,1.322,7.492,2.997,8.019,,,,carcinoma,mixed_adenosquamous_carcinoma,LUNG
T3M4_PANCREAS,71.94,7.038,19.03,12.79,3.502,0.02521,4.988,11.93,3.943,32.78,21.65,22.59,105.3,9.624,52.09,0.02836,1.162,0.8779,3.903,2.021,18.06,7.443,6.48,10.91,14.61,30.87,6.144,18.33,15.48,6.793,10.24,5.342,9.778,16.65,20.87,11.03,0.09845,9.211,8.181,2.881,6.23,,,,carcinoma,ductal_carcinoma,PANCREAS
SLR25_KIDNEY,71.5,2.904,2.388,7.811,1.904,0.00376,5.014,12.23,4.521,20.66,23.54,38.52,53.05,10.68,23.03,0.0241,6.04,1.25,3.345,3.95,17.11,3.955,3.599,14.47,8.626,56.68,14.21,7.307,9.483,3.032,18.6,0.02158,10.31,8.775,7.786,7.155,16.6,5.928,1.867,2.214,3.879,,,,carcinoma,renal_cell_carcinoma,KIDNEY
OSRC2_KIDNEY,70.76,3.966,14.67,6.478,1.989,0.00744,5.605,17.25,3.201,23.87,31.2,31.02,75.05,25.15,17.0,0.00662,47.58,11.41,4.734,4.378,11.8,3.765,3.21,7.727,7.958,17.17,48.71,10.56,10.04,5.861,10.53,2.504,9.189,22.56,13.05,7.927,10.51,4.36,6.682,4.308,10.4,,,,carcinoma,renal_cell_carcinoma,KIDNEY
NCIH596_LUNG,70.04,1.819,40.85,3.89,1.368,0.00659,7.162,10.99,8.469,18.59,13.85,23.55,43.09,2.512,35.25,0.0047,9.033,6.614,3.123,3.708,13.23,4.496,5.894,17.23,8.452,160.7,42.93,9.317,18.47,5.348,13.7,5.94,5.017,2.136,9.64,9.268,23.76,9.645,5.65,3.701,4.277,,,,carcinoma,mixed_adenosquamous_carcinoma,LUNG
RERFGC1B_STOMACH,69.63,13.31,2.219,8.461,1.936,0.5698,11.09,13.09,4.752,53.29,26.17,26.09,100.7,10.22,17.92,0.2127,2.32,88.82,5.894,2.534,11.79,5.389,13.41,22.86,71.65,29.65,37.48,16.45,25.83,8.152,14.13,5.313,8.483,7.177,72.11,7.326,20.31,14.5,21.86,5.666,19.82,8.0,8.0,8.0,carcinoma,NS,STOMACH
NCIH2342_LUNG,69.39,2.318,42.18,11.45,2.757,0.06425,18.25,22.72,9.347,16.99,17.22,44.42,184.5,6.515,23.89,0.04258,1.213,31.98,7.805,4.893,9.197,5.036,5.979,9.746,12.27,98.1,151.7,17.61,22.86,2.309,11.36,1.94,8.29,9.506,49.77,8.986,13.62,3.021,10.03,5.591,16.27,,,,carcinoma,adenocarcinoma,LUNG
ASPC1_PANCREAS,67.84,5.466,1.954,3.054,0.6238,0.00292,6.845,11.74,12.51,10.62,21.59,26.38,40.63,7.424,38.03,0.00623,7.851,6.043,4.345,3.337,6.081,4.008,7.206,18.75,12.15,86.4,12.02,8.602,8.014,8.804,34.75,3.757,2.587,9.821,25.69,6.318,16.56,4.753,6.775,4.544,8.862,0.1382,0.9364,8.0,carcinoma,ductal_carcinoma,PANCREAS
BICR16_UPPER_AERODIGESTIVE_TRACT,67.84,5.318,3.134,2.695,0.8046,0.02259,8.728,11.84,3.74,20.96,19.72,64.14,46.86,16.8,69.87,0.1261,2.402,1.643,3.846,5.269,6.741,3.633,3.696,4.768,7.505,31.24,20.49,8.376,8.965,1.334,8.841,2.759,6.356,8.434,35.18,3.91,12.52,9.087,6.106,2.414,5.38,,,,carcinoma,squamous_cell_carcinoma,UPPER_AERODIGESTIVE_TRACT
NCIH747_LARGE_INTESTINE,66.21,4.465,36.33,18.52,6.117,0.02014,11.23,11.43,8.654,23.41,12.99,23.21,87.77,10.97,51.15,0.00587,1.211,0.2623,5.409,2.619,10.69,3.116,8.231,13.44,8.842,19.29,11.89,17.86,13.47,5.357,17.83,4.094,10.27,18.35,34.21,9.663,21.64,2.667,12.29,5.749,7.929,0.02205,8.0,8.0,carcinoma,adenocarcinoma,LARGE_INTESTINE
COLO680N_OESOPHAGUS,66.11,4.16,64.15,5.718,1.276,0.02645,6.188,13.85,3.854,14.26,21.5,59.81,37.34,5.297,36.07,0.2179,0.4481,6.958,3.242,4.143,10.18,6.269,6.492,10.25,14.97,34.85,43.69,12.53,11.16,7.212,8.948,4.337,3.569,4.976,37.59,16.32,7.583,10.65,11.17,3.942,8.573,,,,carcinoma,squamous_cell_carcinoma,OESOPHAGUS
TUHR10TKB_KIDNEY,66.07,2.631,16.24,7.189,1.086,0.00252,6.213,11.28,10.37,34.95,55.34,32.71,103.6,42.63,40.77,0.03237,16.65,0.5279,5.718,7.972,8.547,2.573,3.486,6.418,7.778,20.91,12.38,7.971,17.31,4.634,12.54,2.634,13.16,10.3,8.343,5.217,12.48,9.561,5.121,4.829,9.076,,,,carcinoma,NS,KIDNEY
ISTMES1_PLEURA,65.58,1.783,40.09,7.648,1.457,0.1431,5.579,0.06113,4.596,23.24,38.34,54.06,83.25,25.18,102.1,0.2987,22.83,1.925,2.657,3.934,20.25,1.89,5.189,12.29,13.71,22.07,14.27,14.73,20.65,4.209,15.71,2.69,4.92,11.12,11.57,12.34,21.36,6.237,11.64,5.649,7.566,8.0,8.0,3.789,mesothelioma,NS,PLEURA
PC14_LUNG,65.44,4.154,62.92,5.378,1.296,0.00735,9.044,8.326,4.35,11.38,20.52,31.23,66.4,8.161,27.31,0.00393,0.4147,0.00824,5.104,3.669,13.27,8.147,5.225,12.65,12.79,71.11,34.28,10.63,12.31,2.078,18.18,3.351,6.505,5.656,17.86,6.143,12.65,7.088,5.161,4.111,8.065,8.0,,8.0,carcinoma,non_small_cell_carcinoma,LUNG
PK1_PANCREAS,64.97,6.015,18.26,14.71,3.289,0.01691,3.495,16.91,7.261,24.67,22.7,38.38,150.0,13.1,49.77,0.00139,0.78,4.771,4.164,0.00896,13.43,7.578,4.348,8.003,7.539,42.35,4.743,15.56,10.37,4.212,13.39,3.115,12.75,12.28,33.56,9.434,10.05,5.04,9.334,3.262,11.37,0.9529,2.142,8.0,carcinoma,NS,PANCREAS
HCC95_LUNG,64.52,7.985,7.045,12.75,1.262,0.02285,10.08,15.36,5.987,24.72,21.67,38.83,90.78,7.311,96.24,0.1172,5.735,24.82,5.8,4.97,13.61,3.731,3.692,7.499,12.52,59.98,17.98,15.28,12.73,3.746,18.06,2.676,16.87,18.79,21.09,9.523,15.47,6.611,17.05,4.079,7.09,,,,carcinoma,squamous_cell_carcinoma,LUNG
HCC461_LUNG,64.41,11.35,1.226,5.383,3.67,0.1662,4.911,11.99,4.595,27.74,42.02,110.2,61.04,16.31,29.25,0.00487,17.94,0.5846,2.349,6.201,19.88,5.041,2.459,8.844,9.402,40.08,26.25,10.43,20.22,7.225,6.271,3.673,11.69,17.87,3.314,5.632,15.85,4.786,5.329,3.234,3.957,,,,,,LUNG
